Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Deposit fee,Currency (Deposit fee),Currency conversion fee,Currency (Currency conversion fee)
Market buy,2024-11-27 15:43:20.859,US00724F1012,ADBE,"Adobe",,EOF24153765712,0.0422689000,514.600000,USD,1.26683610,,"GBP",17.20,"GBP",,,,,,,0.03,"GBP"
Market buy,2024-11-27 15:43:20.885,US0378331005,AAPL,"Apple",,EOF24153765717,0.0924341000,235.320000,USD,1.26683706,,"GBP",17.20,"GBP",,,,,,,0.03,"GBP"
Market buy,2024-11-27 15:43:20.925,US70450Y1038,PYPL,"PayPal",,EOF24153765723,0.5026370000,86.550000,USD,1.26646964,,"GBP",34.40,"GBP",,,,,,,0.05,"GBP"
Market buy,2024-11-27 15:43:20.972,US5949181045,MSFT,"Microsoft",,EOF24153765730,0.0511995000,424.840000,USD,1.26683724,,"GBP",17.20,"GBP",,,,,,,0.03,"GBP"
Market buy,2024-11-27 15:43:20.999,US0079031078,AMD,"Advanced Micro Devices",,EOF24153765735,0.3241918000,134.190000,USD,1.26647154,,"GBP",34.40,"GBP",,,,,,,0.05,"GBP"
Market buy,2024-11-27 15:43:21.281,US4370761029,HD,"Home Depot",,EOF24153765754,0.0505968000,429.900000,USD,1.26683542,,"GBP",17.20,"GBP",,,,,,,0.03,"GBP"
Market buy,2024-11-27 15:43:21.33,US67066G1040,NVDA,"Nvidia",,EOF24153765758,0.4915260000,132.760000,USD,1.26659533,,"GBP",51.60,"GBP",,,,,,,0.08,"GBP"
Market buy,2024-11-27 15:43:21.359,US2538681030,DLR,"Digital Realty Trust",,EOF24153765765,0.3341269000,195.300000,USD,1.26659517,,"GBP",51.60,"GBP",,,,,,,0.08,"GBP"
Market buy,2024-11-27 15:43:21.464,US24703L2025,DELL,"Dell Technologies",,EOF24153765769,0.5304853000,123.010000,USD,1.26659543,,"GBP",51.60,"GBP",,,,,,,0.08,"GBP"
Market buy,2024-11-27 15:43:21.607,US4581401001,INTC,"Intel",,EOF24153765773,1.8598970000,23.390000,USD,1.26646261,,"GBP",34.40,"GBP",,,,,,,0.05,"GBP"
Market buy,2024-11-27 15:43:21.626,KYG6683N1034,NU,"NU Holdings",,EOF24153765777,4.7631020000,13.700000,USD,1.26658574,,"GBP",51.60,"GBP",,,,,,,0.08,"GBP"
Market buy,2024-11-27 15:43:21.645,US09260D1072,BX,"Blackstone",,EOF24153765781,0.3390901000,192.440000,USD,1.26658576,,"GBP",51.60,"GBP",,,,,,,0.08,"GBP"
Market buy,2024-11-27 15:43:21.663,USN070592100,ASML,"ASML",,EOF24153765785,0.0984067000,663.110000,USD,1.26658514,,"GBP",51.60,"GBP",,,,,,,0.08,"GBP"
Market buy,2024-11-27 15:43:21.966,US4278661081,HSY,"Hershey",,EOF24153765791,0.2479651000,175.440000,USD,1.26646279,,"GBP",34.40,"GBP",,,,,,,0.05,"GBP"
Market buy,2024-11-27 15:43:22.013,US86800U3023,SMCI,"Super Micro Computer",,EOF24153765795,1.2394010000,35.100000,USD,1.26646215,,"GBP",34.40,"GBP",,,,,,,0.05,"GBP"
Market buy,2024-11-27 15:43:22.278,US7475251036,QCOM,"Qualcomm",,EOF24153765809,0.4208610000,155.050000,USD,1.26658575,,"GBP",51.60,"GBP",,,,,,,0.08,"GBP"
Market buy,2024-11-27 15:43:22.304,US0846707026,BRK.B,"Berkshire Hathaway (Class B)",,EOF24153765813,0.6649127000,490.700000,USD,1.26653725,,"GBP",258.00,"GBP",,,,,,,0.39,"GBP"
Market buy,2024-11-27 15:43:22.674,CA56501R1064,MFC,"Manulife Financial",,EOF24153765817,1.3565010000,32.070000,USD,1.26646250,,"GBP",34.40,"GBP",,,,,,,0.05,"GBP"
Market buy,2024-11-27 15:43:22.735,US6745991058,OXY,"Occidental Petroleum",,EOF24153765821,0.4308080000,50.490000,USD,1.26683144,,"GBP",17.20,"GBP",,,,,,,0.03,"GBP"
Market buy,2024-11-27 15:43:22.753,US8361001071,SOUN,"SoundHound AI",,EOF24153765827,8.5523500000,7.630000,USD,1.26658444,,"GBP",51.60,"GBP",,,,,,,0.08,"GBP"
Market buy,2024-11-27 15:43:22.919,US8923561067,TSCO,"Tractor Supply",,EOF24153765833,0.1521243000,285.970000,USD,1.26646247,,"GBP",34.40,"GBP",,,,,,,0.05,"GBP"
Market buy,2024-11-27 15:43:23.72,US0530151036,ADP,"Automatic Data Processing",,EOF24153765843,0.2107583000,309.620000,USD,1.26659520,,"GBP",51.60,"GBP",,,,,,,0.08,"GBP"
Market buy,2024-11-27 15:43:23.983,US92826C8394,V,"Visa",,EOF24153765847,0.1381276000,314.950000,USD,1.26647125,,"GBP",34.40,"GBP",,,,,,,0.05,"GBP"
Market buy,2024-11-27 15:43:24.008,IE000IVNQZ81,TEL,"TE Connectivity",,EOF24153765851,0.2899253000,150.050000,USD,1.26647136,,"GBP",34.40,"GBP",,,,,,,0.05,"GBP"
Market buy,2024-11-27 15:43:24.07,US6974351057,PANW,"Palo Alto Networks",,EOF24153765855,0.1113442000,390.710000,USD,1.26647139,,"GBP",34.40,"GBP",,,,,,,0.05,"GBP"
Market buy,2024-11-27 15:43:24.222,US0382221051,AMAT,"Applied Materials",,EOF24153765859,0.2559318000,169.980000,USD,1.26647124,,"GBP",34.40,"GBP",,,,,,,0.05,"GBP"
Market buy,2024-11-27 15:43:24.744,US4523081093,ITW,"Illinois Tool Works",,EOF24153765870,0.2342313000,278.590000,USD,1.26658575,,"GBP",51.60,"GBP",,,,,,,0.08,"GBP"
Market buy,2024-11-27 15:43:24.953,US0718131099,BAX,"Baxter International",,EOF24153765874,1.3095300000,33.220000,USD,1.26645084,,"GBP",34.40,"GBP",,,,,,,0.05,"GBP"
Market buy,2024-11-27 15:43:25.281,US03852U1060,ARMK,"Aramark",,EOF24153765880,1.5663460000,41.660000,USD,1.26657558,,"GBP",51.60,"GBP",,,,,,,0.08,"GBP"
Market buy,2024-11-27 15:43:25.749,US3765361080,GOOD,"Gladstone Commercial",,EOF24153765886,3.6577070000,17.840000,USD,1.26656624,,"GBP",51.60,"GBP",,,,,,,0.08,"GBP"
Market buy,2024-11-27 15:43:28.632,US37940X1028,GPN,"Global Payments",,EOF24153765916,0.5563000000,117.300000,USD,1.26657589,,"GBP",51.60,"GBP",,,,,,,0.08,"GBP"
Market buy,2024-11-27 15:43:36.624,US01749D1054,ALGM,"Allegro MicroSystems",,EOF24153765975,2.0656030000,21.060000,USD,1.26642210,,"GBP",34.40,"GBP",,,,,,,0.05,"GBP"
Market buy,2024-11-27 15:43:36.815,US2193501051,GLW,"Corning",,EOF24153765979,0.9072280000,47.950000,USD,1.26642161,,"GBP",34.40,"GBP",,,,,,,0.05,"GBP"
Market buy,2024-11-27 15:43:46.5,US1491231015,CAT,"Caterpillar",,EOF24153766010,0.0531717000,409.080000,USD,1.26683046,,"GBP",17.20,"GBP",,,,,,,0.03,"GBP"
Market buy,2024-11-27 15:43:51.033,US4432011082,HWM,"Howmet Aerospace",,EOF24153766044,0.3734128000,116.500000,USD,1.26645098,,"GBP",34.40,"GBP",,,,,,,0.05,"GBP"
Market buy,2024-11-27 15:43:55.118,US28852N1090,EFC,"Ellington Financial",,EOF24153766072,3.4633350000,12.560000,USD,1.26636062,,"GBP",34.40,"GBP",,,,,,,0.05,"GBP"
Market buy,2024-11-27 15:44:20.735,US81762P1021,NOW,"ServiceNow",,EOF24153766131,0.0412973900,1053.190000,USD,1.26620082,,"GBP",34.40,"GBP",,,,,,,0.05,"GBP"
Market buy,2024-11-27 15:44:42.449,US31428X1063,FDX,"FedEx",,EOF24153766228,0.1429741000,304.190000,USD,1.26612202,,"GBP",34.40,"GBP",,,,,,,0.05,"GBP"
Deposit,2024-12-02 14:04:00,,,,"Transaction ID: JQZD6MNJXR6KG3X3",1217b300-d777-4735-bf0f-410c7b7a476e,,,,,,,1000.00,"GBP",,,1007.00,"GBP",-7.00,"GBP",,
Market buy,2024-12-02 14:30:01.327,US0382221051,AMAT,"Applied Materials",,EOF24404050187,0.1384346000,176.000000,USD,1.26700413,,"GBP",19.26,"GBP",,,,,,,0.03,"GBP"
Market buy,2024-12-02 14:30:02.767,US8923561067,TSCO,"Tractor Supply",,EOF24404051798,0.0931565000,283.950000,USD,1.26684809,,"GBP",20.91,"GBP",,,,,,,0.03,"GBP"
Market buy,2024-12-02 14:30:04.59,US8361001071,SOUN,"SoundHound AI",,EOF24404055668,2.8542100000,9.210000,USD,1.26685658,,"GBP",20.78,"GBP",,,,,,,0.03,"GBP"
Market buy,2024-12-02 14:30:09.812,USN070592100,ASML,"ASML",,EOF24404065087,0.0541582000,681.800000,USD,1.26672592,,"GBP",29.19,"GBP",,,,,,,0.04,"GBP"
Market buy,2024-12-02 14:30:09.812,US37940X1028,GPN,"Global Payments",,EOF24404065084,0.3141366000,120.000000,USD,1.26667983,,"GBP",29.80,"GBP",,,,,,,0.04,"GBP"
Market buy,2024-12-02 14:30:09.812,CA56501R1064,MFC,"Manulife Financial",,EOF24404065081,0.7969530000,32.270000,USD,1.26688045,,"GBP",20.33,"GBP",,,,,,,0.03,"GBP"
Market buy,2024-12-02 14:30:09.812,US4523081093,ITW,"Illinois Tool Works",,EOF24404065102,0.0187758000,279.490000,USD,1.26754790,,"GBP",4.15,"GBP",,,,,,,0.01,"GBP"
Market buy,2024-12-02 14:30:09.812,US2538681030,DLR,"Digital Realty Trust",,EOF24404065099,0.1918892000,195.000000,USD,1.26670257,,"GBP",29.58,"GBP",,,,,,,0.04,"GBP"
Market buy,2024-12-02 14:30:09.812,US02079K3059,GOOGL,"Alphabet (Class A)",,EOF24404065096,0.2282483000,168.870000,USD,1.26707069,,"GBP",30.47,"GBP",,,,,,,0.05,"GBP"
Market buy,2024-12-02 14:30:09.812,US86800U3023,SMCI,"Super Micro Computer",,EOF24404065090,0.5436460000,37.790000,USD,1.26660803,,"GBP",16.24,"GBP",,,,,,,0.02,"GBP"
Market buy,2024-12-02 14:30:09.812,US0231351067,AMZN,"Amazon",,EOF24404065093,0.0595317000,209.940000,USD,1.26627002,,"GBP",9.88,"GBP",,,,,,,0.01,"GBP"
Market buy,2024-12-02 14:30:13.984,IE000IVNQZ81,TEL,"TE Connectivity",,EOF24404078094,0.1664455000,152.990000,USD,1.26689040,,"GBP",20.13,"GBP",,,,,,,0.03,"GBP"
Market buy,2024-12-02 14:30:13.984,US67066G1040,NVDA,"Nvidia",,EOF24404078097,0.2580086000,138.850000,USD,1.26677843,,"GBP",28.32,"GBP",,,,,,,0.04,"GBP"
Market buy,2024-12-02 14:30:13.984,US6745991058,OXY,"Occidental Petroleum",,EOF24404078091,0.2525480000,50.690000,USD,1.26749090,,"GBP",10.12,"GBP",,,,,,,0.02,"GBP"
Market buy,2024-12-02 14:30:13.984,US03852U1060,ARMK,"Aramark",,EOF24404078045,0.9902900000,40.570000,USD,1.26698408,,"GBP",31.76,"GBP",,,,,,,0.05,"GBP"
Market buy,2024-12-02 14:30:17.497,US6974351057,PANW,"Palo Alto Networks",,EOF24404087487,0.0661963000,390.410000,USD,1.26684791,,"GBP",20.43,"GBP",,,,,,,0.03,"GBP"
Market buy,2024-12-02 14:30:17.497,US81762P1021,NOW,"ServiceNow",,EOF24404087484,0.0243158200,1055.000000,USD,1.26682420,,"GBP",20.28,"GBP",,,,,,,0.03,"GBP"
Market buy,2024-12-02 14:30:17.497,US1491231015,CAT,"Caterpillar",,EOF24404087478,0.0317480000,410.000000,USD,1.26744693,,"GBP",10.29,"GBP",,,,,,,0.02,"GBP"
Market buy,2024-12-02 14:30:17.497,US00724F1012,ADBE,"Adobe",,EOF24404087481,0.0248768000,515.620000,USD,1.26748770,,"GBP",10.14,"GBP",,,,,,,0.02,"GBP"
Market buy,2024-12-02 14:30:17.497,US24703L2025,DELL,"Dell Technologies",,EOF24404087496,0.2920174000,126.400000,USD,1.26667808,,"GBP",29.18,"GBP",,,,,,,0.04,"GBP"
Market buy,2024-12-02 14:30:17.497,US0718131099,BAX,"Baxter International",,EOF24404087490,0.7358140000,33.660000,USD,1.26687975,,"GBP",19.58,"GBP",,,,,,,0.03,"GBP"
Market buy,2024-12-02 14:30:17.497,US2193501051,GLW,"Corning",,EOF24404087493,0.5138570000,48.890000,USD,1.26689201,,"GBP",19.86,"GBP",,,,,,,0.03,"GBP"
Market buy,2024-12-02 14:30:22.675,US0079031078,AMD,"Advanced Micro Devices",,EOF24405906467,0.1759312000,137.980000,USD,1.26696174,,"GBP",19.19,"GBP",,,,,,,0.03,"GBP"
Market buy,2024-12-02 14:30:22.675,US7475251036,QCOM,"Qualcomm",,EOF24405906470,0.2333140000,158.750000,USD,1.26670990,,"GBP",29.28,"GBP",,,,,,,0.04,"GBP"
Market buy,2024-12-02 14:30:27,US4432011082,HWM,"Howmet Aerospace",,EOF24405918578,0.2088091000,118.740000,USD,1.26693881,,"GBP",19.60,"GBP",,,,,,,0.03,"GBP"
Market buy,2024-12-02 14:30:27,US92826C8394,V,"Visa",,EOF24405918581,0.0804561000,316.980000,USD,1.26691378,,"GBP",20.16,"GBP",,,,,,,0.03,"GBP"
Market buy,2024-12-02 14:30:27,US3765361080,GOOD,"Gladstone Commercial",,EOF24405918584,2.2363700000,17.660000,USD,1.26706109,,"GBP",31.22,"GBP",,,,,,,0.05,"GBP"
Market buy,2024-12-02 14:30:27,US28852N1090,EFC,"Ellington Financial",,EOF24405918587,2.1254440000,12.380000,USD,1.26687514,,"GBP",20.80,"GBP",,,,,,,0.03,"GBP"
Market buy,2024-12-02 14:30:27,US4581401001,INTC,"Intel",,EOF24405918575,0.9189820000,24.860000,USD,1.26710441,,"GBP",18.06,"GBP",,,,,,,0.03,"GBP"
Market buy,2024-12-02 14:30:30.143,US5949181045,MSFT,"Microsoft",,EOF24405925053,0.0307580000,421.990000,USD,1.26753597,,"GBP",10.26,"GBP",,,,,,,0.02,"GBP"
Market buy,2024-12-02 14:30:30.143,US09260D1072,BX,"Blackstone",,EOF24405925056,0.2011473000,192.880000,USD,1.26705719,,"GBP",30.67,"GBP",,,,,,,0.05,"GBP"
Market buy,2024-12-02 14:30:30.956,US4370761029,HD,"Home Depot",,EOF24405926849,0.0304819000,429.130000,USD,1.26750947,,"GBP",10.34,"GBP",,,,,,,0.02,"GBP"
Market buy,2024-12-02 14:30:30.956,US0846707026,BRK.B,"Berkshire Hathaway (Class B)",,EOF24405926852,0.4073239000,485.000000,USD,1.26692805,,"GBP",156.16,"GBP",,,,,,,0.23,"GBP"
Market buy,2024-12-02 14:30:30.956,US4278661081,HSY,"Hershey",,EOF24405926855,0.0586312000,176.350000,USD,1.26710932,,"GBP",8.17,"GBP",,,,,,,0.01,"GBP"
Market buy,2024-12-02 14:30:30.956,US0378331005,AAPL,"Apple",,EOF24405926858,0.0535088000,237.370000,USD,1.26760317,,"GBP",10.04,"GBP",,,,,,,0.02,"GBP"
Market buy,2024-12-02 14:30:30.956,US70450Y1038,PYPL,"PayPal",,EOF24405926861,0.2931380000,86.700000,USD,1.26695237,,"GBP",20.09,"GBP",,,,,,,0.03,"GBP"
Market buy,2024-12-02 14:30:33.343,US0530151036,ADP,"Automatic Data Processing",,EOF24405932013,0.1292708000,308.160000,USD,1.26705120,,"GBP",31.49,"GBP",,,,,,,0.05,"GBP"
Market buy,2024-12-02 14:30:34.577,US31428X1063,FDX,"FedEx",,EOF24405933892,0.0863872000,301.960000,USD,1.26690038,,"GBP",20.62,"GBP",,,,,,,0.03,"GBP"
Market buy,2024-12-02 14:30:36.238,US4278661081,HSY,"Hershey",,EOF24405935297,0.0857751000,176.200000,USD,1.26685436,,"GBP",11.95,"GBP",,,,,,,0.02,"GBP"
Market buy,2024-12-02 14:30:36.745,US01749D1054,ALGM,"Allegro MicroSystems",,EOF24405936086,1.0741380000,21.990000,USD,1.26718318,,"GBP",18.67,"GBP",,,,,,,0.03,"GBP"
Market buy,2024-12-02 14:30:41.764,US4523081093,ITW,"Illinois Tool Works",,EOF24405939006,0.1194706000,279.130000,USD,1.26701476,,"GBP",26.36,"GBP",,,,,,,0.04,"GBP"
Market buy,2024-12-02 14:31:41.521,KYG6683N1034,NU,"NU Holdings",,EOF24406950326,3.8269570000,11.900000,USD,1.26678131,,"GBP",36.00,"GBP",,,,,,,0.05,"GBP"
Market sell,2024-12-02 17:15:31.304,US0231351067,AMZN,"Amazon",,EOF24409905584,0.0060073000,210.810000,USD,1.26639891,0.02,"GBP",1.00,"GBP",,,,,,,,
Market sell,2024-12-02 17:15:31.328,US7475251036,QCOM,"Qualcomm",,EOF24409905589,0.0132757000,162.160000,USD,1.26634559,0.06,"GBP",1.70,"GBP",,,,,,,,
Market sell,2024-12-02 17:15:31.349,US67066G1040,NVDA,"Nvidia",,EOF24409905594,0.0090761000,139.530000,USD,1.26638823,0.03,"GBP",1.00,"GBP",,,,,,,,
Market sell,2024-12-02 17:15:31.422,US4581401001,INTC,"Intel",,EOF24409905603,0.0503930000,25.130000,USD,1.26637609,0.05,"GBP",1.00,"GBP",,,,,,,,
Market sell,2024-12-02 17:15:31.422,US0378331005,AAPL,"Apple",,EOF24409905600,0.0052790000,239.890000,USD,1.26637931,0.02,"GBP",1.00,"GBP",,,,,,,,
Market sell,2024-12-02 17:15:31.479,US86800U3023,SMCI,"Super Micro Computer",,EOF24409905609,0.1529050000,42.570000,USD,1.26391569,0.81,"GBP",5.14,"GBP",,,,,,,0.01,"GBP"
Market sell,2024-12-02 17:15:31.567,US5949181045,MSFT,"Microsoft",,EOF24409905613,0.0029376000,431.060000,USD,1.26628185,0.02,"GBP",1.00,"GBP",,,,,,,,
Market sell,2024-12-02 17:15:31.711,IE000IVNQZ81,TEL,"TE Connectivity",,EOF24409905617,0.0081855000,154.700000,USD,1.26629685,0.02,"GBP",1.00,"GBP",,,,,,,,
Market sell,2024-12-02 17:15:31.761,CA56501R1064,MFC,"Manulife Financial",,EOF24409905621,0.0391800000,32.320000,USD,1.26629760,0.01,"GBP",1.00,"GBP",,,,,,,,
Market sell,2024-12-02 17:15:31.815,US02079K3059,GOOGL,"Alphabet (Class A)",,EOF24409905625,0.0086963000,171.830000,USD,1.26634341,0.02,"GBP",1.18,"GBP",,,,,,,,
Market sell,2024-12-02 17:15:31.872,US2193501051,GLW,"Corning",,EOF24409905629,0.0255560000,49.550000,USD,1.26629980,0.03,"GBP",1.00,"GBP",,,,,,,,
Market sell,2024-12-02 17:15:31.92,US8923561067,TSCO,"Tractor Supply",,EOF24409905633,0.0044349000,285.530000,USD,1.26629699,0.00,"GBP",1.00,"GBP",,,,,,,,
Market sell,2024-12-02 17:15:32.192,US6974351057,PANW,"Palo Alto Networks",,EOF24409905640,0.0032348000,391.460000,USD,1.26629480,0.00,"GBP",1.00,"GBP",,,,,,,,
Market sell,2024-12-02 17:15:32.192,US0079031078,AMD,"Advanced Micro Devices",,EOF24409905643,0.0138612000,142.520000,USD,1.26634501,0.08,"GBP",1.56,"GBP",,,,,,,,
Market sell,2024-12-02 17:15:32.565,US01749D1054,ALGM,"Allegro MicroSystems",,EOF24409905648,0.0569890000,22.220000,USD,1.26629558,0.04,"GBP",1.00,"GBP",,,,,,,,
Market sell,2024-12-02 17:15:32.815,USN070592100,ASML,"ASML",,EOF24409905652,0.0042588000,701.740000,USD,1.26634335,0.11,"GBP",2.36,"GBP",,,,,,,,
Market sell,2024-12-02 17:15:33.776,US8361001071,SOUN,"SoundHound AI",,EOF24409905669,0.1385400000,9.140000,USD,1.26625560,0.12,"GBP",1.00,"GBP",,,,,,,,
Market sell,2024-12-02 17:15:34.376,US00724F1012,ADBE,"Adobe",,EOF24409905676,0.0024503000,516.790000,USD,1.26629053,0.00,"GBP",1.00,"GBP",,,,,,,,
Market sell,2024-12-02 17:15:35.13,US0382221051,AMAT,"Applied Materials",,EOF24409905680,0.0162955000,183.400000,USD,1.26635368,0.15,"GBP",2.36,"GBP",,,,,,,,
Market sell,2024-12-02 17:15:35.828,US24703L2025,DELL,"Dell Technologies",,EOF24409905692,0.0099411000,127.380000,USD,1.26629731,0.03,"GBP",1.00,"GBP",,,,,,,,
Market sell,2024-12-02 17:15:37.993,US4278661081,HSY,"Hershey",,EOF24409905710,0.0071623000,176.800000,USD,1.26629464,0.01,"GBP",1.00,"GBP",,,,,,,,
Market buy,2024-12-02 17:15:38.24,US2538681030,DLR,"Digital Realty Trust",,EOF24409905721,0.0150377000,192.290000,USD,1.26270713,,"GBP",2.29,"GBP",,,,,,,,
Market buy,2024-12-02 17:15:38.4,KYG6683N1034,NU,"NU Holdings",,EOF24409905724,0.1592930000,11.890000,USD,1.26266251,,"GBP",1.50,"GBP",,,,,,,,
Market buy,2024-12-02 17:15:39.697,US09260D1072,BX,"Blackstone",,EOF24409905738,0.0132925000,188.090000,USD,1.26272036,,"GBP",1.98,"GBP",,,,,,,,
Market buy,2024-12-02 17:15:40.18,US0846707026,BRK.B,"Berkshire Hathaway (Class B)",,EOF24409905744,0.0181738000,477.330000,USD,1.26456267,,"GBP",6.87,"GBP",,,,,,,0.01,"GBP"
Market buy,2024-12-02 17:15:51.136,US03852U1060,ARMK,"Aramark",,EOF24409905770,0.0323660000,40.180000,USD,1.26258823,,"GBP",1.03,"GBP",,,,,,,,
Market sell,2024-12-04 14:30:01.269,US0382221051,AMAT,"Applied Materials",,EOF24501311184,0.0068574000,185.200000,USD,1.26999048,0.07,"GBP",1.00,"GBP",,,,,,,,
Market sell,2024-12-04 14:30:01.269,USN070592100,ASML,"ASML",,EOF24501311187,0.0048269000,723.580000,USD,1.27005392,0.20,"GBP",2.75,"GBP",,,,,,,,
Market sell,2024-12-04 14:30:01.82,US4432011082,HWM,"Howmet Aerospace",,EOF24501312724,0.0106624000,119.110000,USD,1.26999846,0.01,"GBP",1.00,"GBP",,,,,,,,
Market sell,2024-12-04 14:30:02.269,US2538681030,DLR,"Digital Realty Trust",,EOF24501314293,0.0066771000,190.200000,USD,1.26998442,-0.03,"GBP",1.00,"GBP",,,,,,,,
Market sell,2024-12-04 14:30:02.269,US02079K3059,GOOGL,"Alphabet (Class A)",,EOF24501314296,0.0074251000,171.040000,USD,1.26998910,0.01,"GBP",1.00,"GBP",,,,,,,,
Market sell,2024-12-04 14:30:03.162,US6745991058,OXY,"Occidental Petroleum",,EOF24501317511,0.0252000000,50.400000,USD,1.27008000,-0.01,"GBP",1.00,"GBP",,,,,,,,
Market sell,2024-12-04 14:30:04.103,US7475251036,QCOM,"Qualcomm",,EOF24501320469,0.0078888000,164.220000,USD,1.27009680,0.05,"GBP",1.02,"GBP",,,,,,,,
Market sell,2024-12-04 14:30:05.278,US67066G1040,NVDA,"Nvidia",,EOF24501324440,0.0089443000,142.000000,USD,1.27009060,0.05,"GBP",1.00,"GBP",,,,,,,,
Market sell,2024-12-04 14:30:07.346,US0079031078,AMD,"Advanced Micro Devices",,EOF24501330916,0.0088867000,142.920000,USD,1.27008716,0.05,"GBP",1.00,"GBP",,,,,,,,
Market sell,2024-12-04 14:30:07.346,US03852U1060,ARMK,"Aramark",,EOF24501330913,0.0317920000,39.950000,USD,1.27009040,-0.03,"GBP",1.00,"GBP",,,,,,,,
Market sell,2024-12-04 14:30:08.344,US0530151036,ADP,"Automatic Data Processing",,EOF24501333526,0.0041917000,303.000000,USD,1.27008510,-0.02,"GBP",1.00,"GBP",,,,,,,,
Market sell,2024-12-04 14:30:09.151,US4278661081,HSY,"Hershey",,EOF24501335110,0.0071549000,177.500000,USD,1.26999475,0.01,"GBP",1.00,"GBP",,,,,,,,
Market sell,2024-12-04 14:30:09.793,US81762P1021,NOW,"ServiceNow",,EOF24501336267,0.0013066300,1078.880000,USD,1.26999727,0.02,"GBP",1.11,"GBP",,,,,,,,
Market sell,2024-12-04 14:30:10.103,US4370761029,HD,"Home Depot",,EOF24501336746,0.0029812000,426.000000,USD,1.26999120,-0.01,"GBP",1.00,"GBP",,,,,,,,
Market buy,2024-12-04 14:32:53.006,US86800U3023,SMCI,"Super Micro Computer",,EOF24501342914,0.0734560000,40.500000,USD,1.26594382,,"GBP",2.35,"GBP",,,,,,,,
Market buy,2024-12-04 14:32:53.375,US4581401001,INTC,"Intel",,EOF24501342922,0.3299820000,22.290000,USD,1.26815496,,"GBP",5.81,"GBP",,,,,,,0.01,"GBP"
Market buy,2024-12-04 14:32:53.672,US31428X1063,FDX,"FedEx",,EOF24501342927,0.0127487000,283.040000,USD,1.26610247,,"GBP",2.85,"GBP",,,,,,,,
Market buy,2024-12-04 14:32:54.14,US0846707026,BRK.B,"Berkshire Hathaway (Class B)",,EOF24501342937,0.0048471000,470.170000,USD,1.26608944,,"GBP",1.80,"GBP",,,,,,,,
Market buy,2024-12-04 14:32:54.825,KYG6683N1034,NU,"NU Holdings",,EOF24501342950,0.1107630000,11.660000,USD,1.26617311,,"GBP",1.02,"GBP",,,,,,,,
Market buy,2024-12-04 14:32:54.869,US8361001071,SOUN,"SoundHound AI",,EOF24501342956,0.3492500000,9.100000,USD,1.26620517,,"GBP",2.51,"GBP",,,,,,,,
Market buy,2024-12-04 14:33:40.959,US01749D1054,ALGM,"Allegro MicroSystems",,EOF24501344057,0.0586590000,22.230000,USD,1.26600929,,"GBP",1.03,"GBP",,,,,,,,
Market sell,2024-12-06 17:43:24.575,US00724F1012,ADBE,"Adobe",,EOF24605957533,0.0023045000,553.090000,USD,1.27459590,0.06,"GBP",1.00,"GBP",,,,,,,,
Market sell,2024-12-06 17:43:24.62,US86800U3023,SMCI,"Super Micro Computer",,EOF24605957537,0.1099010000,43.840000,USD,1.27125589,0.66,"GBP",3.78,"GBP",,,,,,,0.01,"GBP"
